Time,Tankdruk,Verdampingsdruk,Verdampingstemperatuur,Condensatiedruk,Condensatietemperatuur,VerdamperFAN sturing,FDVerdamperInterval,VerdamperFAN MODE Control,FDVerdamperFanPulsenNodig,FDVerdamperFanPulsen,FDCondensorInterval,CondensorFAN MODE Control,CondensorFAN sturing,FDCondensorPulsen,FDCondensorPulsenNodig,Gewicht Opslagtank,Compessor,S1 Lekken,S1 Bijvullen,S2 Start,LekkenVullen MODE Control,Alarm State,Cel Temperatuur,Verwarming Interval,Verwarming MODE Control,Verwarming sturing,Verwarming PulsenNodig,Verwarming sturing PWM1,Verwarming Pulsen,Stuurstroom,OFF Koel ON Vries,Gewicht Target,Vloeistofklep dicht,HD Overstortklep,FD Bijvullen,Bijvullen Actief,Lekken Actief,Reset,FDlekkkenInterval,FDlekkkenPulsenNodig,FDlekkkenPulsen,FD Lekken aktief,FD Lekken Klaar,FD Bijvullen aktief,setpoint_min,setpoint_max
2023-05-22 00:07:30,12.3,5.0,-0.6,14.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:07:45,12.3,5.0,-0.6,14.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:08:00,12.3,5.0,-0.7,14.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,2.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:08:15,12.3,5.1,-0.4,13.9,31.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:08:30,12.3,5.0,-0.5,14.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:08:45,12.3,5.0,-0.5,14.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:09:00,12.2,5.1,-0.3,13.8,31.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:09:15,12.2,5.1,-0.2,13.8,31.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:09:30,12.2,5.1,-0.2,13.8,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:09:45,12.2,5.1,-0.2,13.8,31.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:10:00,12.3,5.1,-0.3,13.9,31.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:10:15,12.2,5.1,-0.2,13.9,31.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:10:30,12.2,5.1,-0.2,13.8,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:10:45,12.2,5.1,-0.1,13.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:11:00,12.2,5.1,0.0,13.7,30.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.7,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:11:15,12.2,5.1,0.0,13.8,31.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.6,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:11:30,12.2,5.1,0.0,13.7,30.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.7,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:11:45,12.2,5.2,0.1,13.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.8,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:12:00,12.2,5.1,0.0,13.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.7,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:12:15,12.2,5.1,0.0,13.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.8,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:12:30,12.2,5.2,0.2,13.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:12:45,12.2,5.2,0.2,13.6,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:13:00,12.2,5.2,0.2,13.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:13:15,12.2,5.2,0.2,13.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:13:30,12.2,5.2,0.1,13.6,30.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,3.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:13:45,12.2,2.8,-13.9,15.6,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-214748364.8,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:14:00,12.2,2.9,-13.4,17.1,39.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-214748364.8,3.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:14:15,12.2,2.9,-13.2,16.6,38.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-214748364.8,2.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:14:30,12.2,2.9,-13.6,16.6,38.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-214748364.8,1.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:14:45,12.2,2.9,-13.6,16.7,38.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-214748364.8,0.8,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:15:00,12.2,3.5,-9.4,15.5,35.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:15:15,12.2,3.9,-6.9,14.7,33.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,-0.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
2023-05-22 00:15:30,12.2,4.1,-5.4,14.7,33.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214748364.8,-0.1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,20.0,0.0,0.0,0.0,0.0,16,18
